"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11406635","X","3280","450 Victoria Ter","VICTORIA PARK RE-AMENDED ","","$5,750,000","","5","4","1","¤4,043","Single","2007","2","Yes","Yes","Attached","¤10,528"
"1","A11649331","X","3160","3306 NE 16th St","LAS OLAS BY THE SEA EXT ","","$5,725,000","","5","5","1","4,285","Single","2024","2","Yes","No","Detached","¤6,212"
"1","A11692015","X","3160","2200 N Ocean Blvd Unit#S1801","2200 FORT LAUDERDALE BEAC Auberge Residences","","$5,699,000","","4","5","0","¤3,500","Condo","2018","2","","Yes","",""
"1","F10419519","X","3280","500 Hendricks Isle Unit#PH","Lumiere Lumiere","","$5,699,000","","4","4","1","4,750","Condo","2025","2","","Yes","",""
"1","F10496695","X","3270","633 4th Key Dr","Sunrise Key ","","$5,695,000","","4","3","0","3,388","Single","1969","2","Yes","Yes","","11,669"
"1","A11546525","X","3600","2221 17 Street Unit#704","MARINA CONDOMINIUM 1 PIER SIXTY-SIX RESIDENCES","","$5,650,000","","3","3","1","¤2,718","Condo","2024","2","","Yes","",""
"1","A11545886","X","3600","2221 17 Street Unit#803","MARINA CONDOMINIUM 2 PIER SIXTY-SIX RESIDENCES","","$5,650,000","","3","3","1","¤2,837","Condo","2024","0","","Yes","",""
"1","A11605738","X","3280","2323 Delmar Pl","GOULD ISLAND ","","$5,625,000","","6","5","0","¤4,322","Single","1988","2","Yes","Yes","Attached","¤11,700"
"1","A11436736","X","3260","1309 Middle River Dr","BEACHWAY HEIGHTS UNIT A ","","$5,500,000","","7","7","1","¤5,807","Single","2000","2","Yes","Yes","Attached","¤14,250"
"1","F10398423","X","3800","100 E Las Olas Blvd Unit#4001","100 Las Olas 100 Las Olas","","$5,500,000","","4","4","1","3,896","Condo","2020","2","","No","",""
"1","A11532401","X","3150","2871 NE 26th Pl","CORAL RIDGE GALT ADD NO 1 ","","$5,499,000","","5","6","0","¤5,523","Single","2007","3","Yes","Yes","Attached","¤12,004"
"1","F10508728","X","3170","2321 SE 17th Unit#401","Pier Sixty Six Residence Pier Sixty Six Residence","","$5,499,000","","3","3","1","2,205","Condo","2024","2","","Yes","",""
"1","F10555452","X","3280","2614 Castilla Isle","Seven Isles ","","$5,495,000","","6","7","0","4,735","Single","2000","2","Yes","Yes","","9,000"
"1","F10535538","X","3280","2614 Castilla Isle","Seven Isles ","","$5,495,000","","6","7","0","4,735","Single","2000","2","Yes","Yes","","9,000"
"1","F10419523","X","3280","116 Royal Palm Drive","LAS OLAS ISLES ","","$5,495,000","","4","4","1","4,420","Single","2001","3","Yes","Yes","","12,000"
"1","A11683827","X","3260","1180 N Federal Hwy Unit#1606","RIVA RIVA Residences","","$5,490,000","","3","3","1","4,520","Condo","2021","2","","Yes","",""
"1","F10470812","X","3470","1131 SW 9 Ave","VALENTINES SUB B-29 ","","$5,490,000","","5","5","1","4,757","Single","2026","3","Yes","Yes","","16,200"
"1","F10431979","X","3160","2200 N Ocean Blvd Unit#N505","AUBERGE BEACH RESIDENCES AUBERGE BEACH RESIDENCES","","$5,450,000","","3","3","1","2,434","Condo","2018","2","","Yes","",""
