"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","F10539540","C","3270","608 NE 16th Ave","","$1,000,000","5","2,652","","1962","7","Victoria Park","No","No",""
"1","A11849023","C","3370","1827 N Dixie Hwy","","$999,999","","¤2,080","I03","1958","4","¤LAUDERDALE PARK 6-33 1/2","No","No",""
"1","A11693392","C","3600","509 SE 19 Street","","$999,999","","¤2,886","I03","1963","6","¤CROISSANT PARK","Yes","No",""
"1","F10538053","C","3380","2000 NE 17 Court","","$999,000","2","2,120","","2004","","Lauder-Gate","No","No",""
"1","A11907947","C","3380","1400 NE 14th St","","$999,000","","¤1,938","I03","1953","6","¤PROGRESSO","No","No",""
"1","A11799985","C","3600","509 SE 19th St","","$998,000","","¤2,886","I03","1958","5","¤CROISSANT PARK","Yes","No",""
"1","A11855351","C","3342","700 SW 16th Ave","","$995,000","4","¤3,047","I04","1970","8","¤RIVERSIDE NO 2","No","No",""
"1","F10460139","C","3460","741 NW 2nd Ave","","$990,000","2","3,416","I02","2017","2","Progresso 2-18 D","No","No",""
"1","F10519705","C","3560","741 NW 2nd Ave","","$990,000","","2,934","I02","2017","4","Progresso 2-18 D","No","No",""
"1","A11787285","C","3370","1645 NE 9th Ave","","$989,000","","¤1,935","I02","1961","5","¤LAUDERDALE PARK 6-33 1/2","Yes","No",""
"1","R11165088","C","3380","1539-1541 NE 15th Avenue","","$988,500","2","2,042","","1955","","ALLENWOOD ADD","No","No",""
"1","R11131474","C","3380","1539-1541 NE 15th Avenue","","$980,000","","2,042","I02","1955","","ALLENWOOD ADD","No","No",""
"1","A11710517","C","3390","623 NW 11th AVENUE","","$980,000","","¤2,833","I03","1952","6","¤PROGRESSO","No","No",""
"1","F10492344","C","3380","2011 NE 17th Ct","","$975,000","4","1,972","I04","1955","6","Lauder-Gate 26-48 B","No","No",""
"1","F10435690","C","3480","337 SW 21st St #1-3","","$975,000","3","1,943","I03","1951","3","Lauderdale 2-9 D","No","No",""
"1","F10420654","C","3380","1225 NE 16 Ter","","$950,000","2","2,587","I02","1950","0","Lake Ridge","Yes","No",""
"1","A11574666","C","3460","1133 NW 2nd St","","$949,999","","3,200","I02","2024","2","¤SEMINOLE ADD F R OLIVERS","No","No",""
"1","B26026655","C","3800","2008 SE 4th Avenue Unit#1-3","","$949,900","3","2,170","","1944","","CROISSANT PARK","No","No",""
"1","A11862463","C","3600","509 SE 19th St","","$939,000","3","¤2,886","I03","1958","5","¤CROISSANT PARK","Yes","No",""
"1","A11632910","C","3280","1114 SW 2nd Ct","","$935,000","","¤2,076","I03","1987","2","¤WAVERLY PLACE","No","No",""
"1","F10549038","C","3370","2500 NE 16th Avenue","","$925,000","2","2,444","","1957","","Manor Square 38-47 B","No","No",""
"1","F10470108","C","3460","1204 NW 3 ST","","$919,900","2","2,764","I02","2007","4","SEMINOLE FOREST 14-16 B","No","No",""
"1","A11754966","C","3280","719 NE 17th Rd","","$900,000","2","¤1,642","I02","1958","3","¤VICTORIA COURTS","No","No",""
"1","F10454113","C","3370","1735 NE 2nd Ave","","$900,000","","2,476","I02","1975","6","South Middle River","No","Yes",""
"1","F10453587","C","3390","908-910 NE 23rd Dr","","$899,950","","1,836","I02","1960","3","Wilton Manors","No","No",""
"1","A11587889","C","3080","1144 NE 17th Way","","$899,000","","","I02","1960","1","PROGRESSO","Yes","No",""
"1","F10503518","C","3270","401-403 NE 14th ave","","$899,000","","1,912","","1968","6","Victoria Park","No","No",""
