"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11913003","CS","3600","1901 Miami Rd","","$715,000","3","¤1,980","I03","1969","3","¤EVERGLADE LAND SALES CO","No","No","$715,000"
"1","R10997900","CS","3380","1232 NE 16th Avenue","","$675,000","2","1,346","I02","1960","","PROGRESSO","No","No","$675,000"
"1","F10463297","CS","3480","1510 SW 20th St","","$715,000","2","1,652","I02","1959","4","Marilynn Gardens 48-50 B","No","No","$715,000"
"1","R11081540","CS","3450","754 NE 40th Street","","$698,500","3","1,450","","1959","","OAKLAND PARK SECOND ADD","No","No","$698,500"
"1","F10486859","CS","3370","1428 NE 2nd Ave","","$735,000","2","1,750","I02","1985","4","Progresso 2-18 D","No","No","$735,000"
"1","A11711284","CS","3390","1125/1127 N Andrews Ave","","$685,000","","¤2,393","I02","1977","6","¤PROGRESSO","No","No","$685,000"
"1","F10491620","CS","3450","925 NE 40th Street","","$715,000","2","1,538","I02","1959","6","Oakland Park","Yes","No","$715,000"
"1","A11874679","CS","3380","1123 NE 1st Ave","","$713,275","2","¤1,856","I02","1950","3","¤PROGRESSO","No","No","$713,275"
"1","A11928786","CS","3370","1433 NE 22nd St","","$625,000","","¤1,828","I02","1959","3","¤EDGEWATER ESTATES 1ST ADD","No","No","$625,000"
"1","R11048301","CS","3370","1211 NE 2nd Avenue Unit#1-2","","$695,000","","1,847","I02","1986","","PROGRESSO","No","No","$695,000"
"1","F10457231","CS","3370","1005 NE 17th St","","$700,000","4","2,057","I04","1959","6","LAUDERDALE PARK 6-33 1/2","No","No","$700,000"
"1","A11824256","CS","3450","754 NE 36th St","","$700,000","","¤2,007","I02","1970","4","¤OAKLAND PARK SECOND ADD","No","No","$700,000"
"1","F10491334","CS","3470","604-606 SW 5th Ave","","$640,000","2","2,229","I02","1981","4","TARPON RIVER","No","No","$640,000"
"1","F10490674","CS","3470","600-602 SW 5th Ave","","$640,000","","2,133","I02","1981","4","Ft Lauderdale B-40 D","No","No","$640,000"
"1","F10491338","CS","3470","608-610 SW 5th Ave","","$640,000","2","2,133","I02","1981","4","Ft Lauderdale B-40 D","No","No","$640,000"
"1","F10473507","CS","3470","912 SW 2nd St","","$675,000","4","2,676","I04","1958","4","Waverly Place 2-19 D","No","No","$675,000"
"1","F10500863","CS","3480","1601 SW 20th Ave","","$720,000","3","1,894","I03","1957","6","Shady Banks","No","No","$720,000"
"1","F10545810","CS","3360","1632 NE 33rd Street","","$685,000","1","1,914","","1961","","Simpson Place 9-53 B","No","No","$685,000"
"1","R11131766","CS","3480","830 SW 14th Street","","$670,000","2","2,313","I02","1967","","ISLAND VIEW","No","No","$670,000"
"1","A11815372","CS","3470","1001 SW 4th Ave","","$685,000","","¤1,978","I02","1958","4","¤LAUDERDALE","No","No","$685,000"
"1","A11779807","CS","3480","1712 SW 20th St","","$715,000","","¤1,776","I02","1969","4","¤OSCEOLA PARK","No","No","$715,000"
"1","F10554558","CS","3360","1478 NE 34th Court","","$645,000","2","1,210","","1964","","Oakland Park 2-38 B","No","No","$645,000"
