"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","A11961139","CS","22","3575 Mystic Pointe Dr, Slip 45","$1,600","0.0000","","Less Than 1/4 Acre Lot","¤5000","MYSTIC POINTE MARINA COND","Public Road","Yes","Boat Dock or Dockominium","Dockominium","$1,600"
"1001","R11072349","CS","5100","3232 Casseekey Island Road","$2,000","0.0021","","1/4 To Less Than 1/2 Acre Lot","","CASSEEKEY ISLAND DOCK COND","","Yes","","","$2,000"
"1001","A11995558","CS","12","3575 Mystic Pointe Dr, 118","$1,150","0.0000","","Less Than 1/4 Acre Lot","¤5000","MYSTIC POINTE MARINA COND","Legal Access Road","Yes","Boat Dock or Dockominium","Dockominium","$1,150"
"1001","R11125745","CS","4180","7432 NE Orchid Bay Terrace","$1,200","0.0021","","1/4 To Less Than 1/2 Acre Lot","","BOCA BAY COLONY","","Yes","","","$1,200"
"1001","A11922009","CS","21","1 No Address","$100","0.0070","300","","¤5700","ARCH CREEKS ESTATES","","No","Zoned Residential","Residential","$100"
"1001","A11922024","CS","30","3 No Address","$700","0.0030","137","","¤5700","SMITH TERRACE","","No","Zoned Residential","Residential","$700"
"1001","R11162067","CS","7040","Tbd Kenwood Road","$800","0.3600","","1/2 To Less Than 3/4 Acre Lot, Corner Lot","RS-4Co","LAKEWOOD PARK UNIT 10","County Road, Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$800"
"1001","A11914862","CS","3280","76 Isle Of Venice Dr, DOCK","$500","0.0000","","East Of US 1","¤RMM-25","76 ISLE OF VENICE CO-OP","City/County Maintained, Paved Road","Yes","Boat Dock or Dockominium","Residential","$500"
"1001","A12003006","CS","32","8425 Crespi Blvd","$250","1.0000","12,650","Less Than 1/4 Acre Lot","¤3900","BISCAYNE BCH SUB","Other Road","Yes","Boat Dock or Dockominium","Dockominium","$250"
"1001","A11987591","PS","42","93 Palm Ave","$23,500,000","0.0000","30,000","","¤2200","PALM ISLAND","","Yes","Zoned Residential","Residential",""
