status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Verena Park,Single Family,699000.0,2273.0,308.0,490.0,-37.2,False,Underpriced
Active,Village Harbor Beach,Condo,185000.0,685.0,270.0,429.0,-37.1,False,Underpriced
Pending,Victoria Park,Single Family,950000.0,2191.0,434.0,685.0,-36.7,False,Underpriced
Active,Middle River Tower,Condo,239000.0,800.0,299.0,471.0,-36.6,True,Underpriced
Active,Nautical Towers,Condo,399500.0,1473.0,271.0,427.0,-36.6,False,Underpriced
Active,Osceola Park,Single Family,620000.0,1986.0,312.0,492.0,-36.6,False,Underpriced
Pending,Dorsey Park Second,Single Family,259900.0,1272.0,204.0,320.0,-36.2,False,Underpriced
Active,Breakwater Towers Co Op Breakwater Towers,Condo,280000.0,805.0,348.0,545.0,-36.2,True,Underpriced
Active,Manor Grove Village One In,Condo,132000.0,750.0,176.0,275.0,-36.1,False,Underpriced
Active,Atlantic Hotel,Condo,397000.0,975.0,407.0,637.0,-36.1,True,Underpriced
Pending,Runaway Bay,Condo,165000.0,870.0,190.0,295.0,-35.8,False,Underpriced
Active,Progresso,Single Family,499999.0,1904.0,263.0,409.0,-35.8,False,Underpriced
Active,Quarterdeck,Condo,270000.0,1008.0,268.0,416.0,-35.7,True,Underpriced
Active,Club Resort Residences,Condo,449000.0,1028.0,437.0,677.0,-35.5,True,Underpriced
Active,Breakwater Towers Co Op Breakwater Towers,Condo,365000.0,1293.0,282.0,438.0,-35.5,False,Underpriced
Active,Village Harbor Beach,Condo,189900.0,685.0,277.0,429.0,-35.4,False,Underpriced
Pending,Leisure Beach Condominium,Condo,190000.0,647.0,294.0,450.0,-34.8,False,Underpriced
Pending,Valentines,Single Family,699900.0,2107.0,332.0,509.0,-34.8,False,Underpriced
Active,Embassy Tower Ii Inc Cond Embassy Tower,Condo,345000.0,1200.0,288.0,441.0,-34.7,False,Underpriced
Active,Marina Del Mar,Condo,260000.0,975.0,267.0,408.0,-34.7,True,Underpriced
Active,Dorsey Park Th,Single Family,445900.0,1442.0,309.0,473.0,-34.6,True,Underpriced
Active,Waverly Place,Single Family,600000.0,2498.0,240.0,366.0,-34.4,False,Underpriced
Active,Lauderdale Tower,Condo,204900.0,730.0,281.0,427.0,-34.3,True,Underpriced
Active,Dorsey Park Th,Single Family,459900.0,1600.0,287.0,436.0,-34.1,True,Underpriced
Active,Las Olas,Condo,440000.0,1447.0,304.0,461.0,-34.0,False,Underpriced
