street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
NE 16th Ave,River Shores,Mainland inland,374.0,419.0,24.7,0.33,567000,73,25
NE 9th Ave,Highland Estates,Mainland inland,374.0,374.0,-22.4,0.0,659900,28,10
NW 12th Ave,Hillmont Hgts,Mainland inland,370.0,373.0,0.0,0.17,512500,6,3
NW 30th St,Jenada Villas,Intracoastal / canal waterfront,367.0,468.0,-2.9,0.86,695000,7,3
Holiday Dr,Maya Marca,Barrier island / beach,366.0,553.0,0.0,1.0,431000,11,4
NW 7th Ter,Progresso,Mainland inland,366.0,464.0,-10.6,0.0,507500,10,5
NW 2nd Ave,Progresso,Mainland inland,366.0,412.0,-10.6,0.0,470000,15,8
NE 8th Ave,Wilton Village,Mainland inland,364.0,331.0,20.4,0.0,264250,44,16
NE 20th Ct,Manor Grove Townhomes,Mainland inland,361.0,272.0,15.2,0.0,347000,15,3
SE 16th Ct,Harbour Oaks,Mainland inland,356.0,393.0,21.9,0.0,450000,5,1
NW 18th Ave,Lauderdale Manors,Mainland inland,356.0,344.0,6.3,0.0,400000,9,4
NW 16th Ter,Lincoln Park Sixth,Mainland inland,350.0,340.0,0.0,0.0,317500,6,1
S Ocean Dr,Breakwater Towers,Barrier island / beach,349.0,445.0,17.1,0.45,330000,49,44
NE 9th St,Victoria Park,Mainland inland,349.0,374.0,-40.8,0.11,612437,28,11
E Broward Blvd,Pine Crest Village,Mainland inland,349.0,370.0,2.5,0.0,442000,11,7
NE 16th Pl,Placido Place,Mainland inland,347.0,448.0,-27.6,0.23,568000,13,5
NE 14th Ave,Wilton Station,Mainland inland,345.0,353.0,6.2,0.14,538500,73,20
Orton Ave,Britannia,Barrier island / beach,344.0,447.0,0.6,0.0,261000,13,7
NW 26th St,Babco Park,Mainland inland,343.0,367.0,-10.3,0.0,666375,4,1
NW 14th Way,First To Tuskegee Par,Mainland inland,342.0,352.0,7.7,0.0,285000,4,0
NW 11th Pl,Lauderdale Manors,Mainland inland,339.0,334.0,1.2,0.0,424000,7,1
N Ft Lauderdale Bch Blvd,Club Resort Residence,Barrier island / beach,339.0,368.0,-0.4,0.87,295000,15,9
City View Dr,City View Townhomes,Downtown high-rise,337.0,444.0,3.1,0.0,460000,11,4
SE 16th St,Harbor Vista,Mainland inland,336.0,347.0,-7.1,0.0,413500,4,1
Kensington Pl,Cypress Cove,Intracoastal / canal waterfront,335.0,405.0,5.7,0.64,445000,11,2
NW 13th Ave,First To Tuskegee Par,Mainland inland,334.0,484.0,5.5,0.0,475000,4,2
NE 3rd Ave,Sole Fort Lauderdale,Downtown high-rise,333.0,350.0,5.7,0.02,360000,57,35
SE 15th St,Marina Del Mar,Intracoastal / canal waterfront,332.0,385.0,14.1,0.84,280000,45,40
NE 30th Pl,Coral Brook,Mainland inland,332.0,434.0,-35.4,0.25,696500,4,3
SE 10th Ave,Village East,Mainland inland,330.0,346.0,-5.3,0.03,325000,37,15
NW 16th Ave,Dorsey Park Second,Mainland inland,329.0,337.0,18.8,0.0,427000,5,1
NW 10th Ave,Lauderdale Villas,Mainland inland,327.0,341.0,6.9,0.14,545000,7,5
NW 16th St,Lauderdale Manors,Mainland inland,326.0,340.0,-2.8,0.0,385000,4,1
NE 1st Ter,Manor Grove Village Two,Mainland inland,326.0,283.0,8.5,0.17,381500,6,1
SW 28th St,Reserve Edgewood,Mainland inland,324.0,338.0,-0.2,0.0,535000,5,4
NW 17th St,Gardenia Park,Mainland inland,322.0,378.0,0.5,0.0,590000,8,4
NW 15th Ave,Lauderdale Manors,Mainland inland,322.0,322.0,-3.7,0.0,339500,14,1
NW 13th St,Lauderdale Manors,Mainland inland,322.0,328.0,-3.9,0.0,430000,7,0
