"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11900437","A","3250","2727 E Oakland Park Blvd Unit#300"," ","$1,760","¤CB","1972","COM/Lease","","Medical Office, Office Space","Office","15,005","","",""
"1","B26044154","A","3700","720 NE 3rd Avenue Unit#720","","$1,750","RAC-UV","2001","COM/Lease","","Consumer Service, Medical Office, Office/Warehouse Combination, Office Space, Professional, Warehouse Space","Commercial","","","","0"
"1","B26035188","A","3810","832 NW 1st Street","","$1,700","B-3","1960","COM/Lease","","Warehouse Space","Industrial","","","",""
"1","A11901212","A","3250","2727 E Oakland Park Blvd Unit#304"," ","$1,612","¤CB","1972","COM/Lease","","Office Space, Professional","Office","15,005","","",""
"1","B26044611","A","3250","2631 E Oakland Park Boulevard Unit#105b","","$1,600","CB","1964","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Office","","","",""
"1","F10554854","A","3260","3020 N Federal Highway Unit#3-4"," ","$1,500","B-1","","COM/Lease","","Warehouse Space","Commercial","2,000","","",""
"1","A12042858","A","3370","1255 N flagler","","$1,500","","","COM/Lease","","Office/Warehouse Combination, Retail Space","Flex Space","10,000","No","",""
"1","B26008176","A","3380","825 NE 11th Street Unit#2","","$1,500","B-3","1963","COM/Lease","","Industrial","Industrial","","","",""
"1","F10556049","A","3260","3038 N Federal Highway Unit#E - 2nd FL Office","","$1,250","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","1,000","","",""
"1","F10530498","A","3260","2400 E Oakland Park Boulevard","","$1,100","","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
"1","A12031157","A","3250","2691 E Oakland Park Blvd Unit#203B","","$700","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","",""
"1","A12022526","A","3500","150 SE 12th St Unit#101-1","","$700","¤RO","1977","COM/Lease","","Medical Office, Office Space","Office","13,664","","",""
"1","B26046281","A","3280","300 Hendricks Isle","","$650","RMM-25","1956","COM/Lease","","","Mixed Use","","","",""
"1","A12041312","A","3560","101 NE 3rd Ave","","$600","¤RAC-CC","1987","COM/Lease","","Office Space, Professional","Office","37,500","","",""
"1","A11844944","A","3280","2933 E Las Olas Blvd","","$90","¤PRD","1988","COM/Lease","","Restaurant/Bar","Restaurant/Entertainment","5,750","","",""
"1","A11971258","A","3370","2300 NE 6th Ave","","$70","¤A & E DI","1972","COM/Lease","","Restaurant/Bar, Retail Space","Mixed Use","13,683","","",""
"1","B26015863","A","3360","3201 N Federal Highway Unit#100"," ","$61","B-1","1979","COM/Lease","","Medical Office, Office/Warehouse Combination, Office Space","Retail","","","",""
"1","F10522678","A","3370","2217 Wilton Drive Unit#2217","","$60","A & E DISTRICT","","COM/Lease","","Mall Enclosed, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Retail","48,969","","",""
"1","A12046047","A","3700","721 NE 3rd Ave"," ","$52","¤RAC-UV","1987","COM/Lease","","Free Standing, Office Space","Office","9,368","","",""
"1","A12030462","A","3700","721 NE 3rd Ave Unit#A"," ","$52","¤RAC-UV","1987","COM/Lease","","Office Space, Professional","Office","9,368","","",""
"1","B26013807","A","3360","3101 N Federal Highway Unit#800"," ","$47","B-1","1968","COM/Lease","","Consumer Service, Commercial/Residential Income, Mall Enclosed, Medical Office, Office/Warehouse Combination, Office Space, Professional, Restaurant/Bar, Shopping Center, Strip Store, Tavern/Bar","Office","","","",""
"1","F10493990","A","3260","1948 E Sunrise Boulevard","","$45","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Retail","3,578","","",""
"1","F10486226","A","3700","821 N Federal Highway"," ","$45","RAC-UV","","COM/Lease","","Retail Space, School, Warehouse Space","Retail","1,720","","",""
"1","B26003399","A","3800","100 SE 6th Street"," ","$45","RAC-CC","1959","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Office","","","",""
"1","B26014032","A","3360","3101 N Federal Highway Unit#202"," ","$42","B-1","1968","COM/Lease","","Consumer Service, Commercial/Residential Income, Mall Enclosed, Medical Office, Office/Warehouse Combination, Office Space, Professional, Restaurant/Bar, Shopping Center, Strip Store, Tavern/Bar","Office","","","",""
"1","B26013773","A","3360","3101 N Federal Highway Unit#700"," ","$42","B-1","1968","COM/Lease","","Consumer Service, Commercial/Residential Income, Mall Enclosed, Medical Office, Office/Warehouse Combination, Office Space, Professional, Restaurant/Bar, Shopping Center, Strip Store, Tavern/Bar, Warehouse Space","Commercial","","","",""
"1","A12018487","A","3370","2300 NE 6th Ave","","$40","¤A & E DI","1971","COM/Lease","Commercial Lease","Professional, Retail Space","Mixed Use","13,683","","",""
"1","B26040389","A","3810","441 NW 1st Avenue","","$40","RAC-UV","1967","COM/Lease","","","Retail","","","",""
"1","A11998806","A","3280","2876 E Oakland Park Blvd","","$36","¤CB","1963","COM/Lease","","Office Space, Office/Warehouse Combination","Office","12,250","","",""
