mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
F10516187,1100 NE 18th Court Unit#1-8,Area 3370,Multifamily,Expired,1500000.0,9167.0,164.0,253.0,-35.3,1635659.0,-8.3
A11708099,3045 N Federal Hwy Unit#6,Area 3070,Office,Expired,170000.0,401.0,424.0,662.0,-36.0,79674.0,113.4
A11681312,2300 NW 6th St,Area 3120,Multifamily,Cancelled,1800000.0,13402.0,134.0,213.0,-37.1,2391307.0,-24.7
F10426987,842 NW 1st Avenue Unit#1-8,Area 3810,Multifamily,Expired,2079000.0,10126.0,205.0,327.0,-37.2,1806773.0,15.1
A11225517,2011 W State Road 84 Unit#232-2,Area 3480,Industrial,Expired,850000.0,2000.0,425.0,680.0,-37.5,310080.0,174.1
A11739246,842 NW 1st Ave,Area 3810,Multifamily,Expired,2049000.0,10126.0,202.0,327.0,-38.1,1806773.0,13.4
F10465676,618 NE 14th Avenue,Area 3270,Multifamily,Expired,1500000.0,9563.0,157.0,255.0,-38.5,1706317.0,-12.1
F10516675,618 NE 14th Avenue,Area 3270,Multifamily,Expired,1500000.0,9563.0,157.0,255.0,-38.5,1706317.0,-12.1
A11615342,505 SE 20th St Unit#1-5,Area 3600,Multifamily,Expired,1799000.0,6977.0,258.0,421.0,-38.8,1244900.0,44.5
F10352347,1130 NE 6th Avenue,Area 3370,Commercial (other),Expired,1700000.0,12769.0,133.0,220.0,-39.4,2472078.0,-31.2
A11986634,1100 NE 18th Ct Unit#1-8,Area 3420,Multifamily,Cancelled,1400000.0,9167.0,153.0,262.0,-41.6,1635659.0,-14.4
F10423861,1091 NE 4th Avenue,Area 3390,Commercial (other),Expired,1990000.0,18100.0,110.0,188.0,-41.6,3504160.0,-43.2
A11610343,834 NW 10th Ter,Area 3460,Industrial,Cancelled,1400000.0,16875.0,83.0,142.0,-41.6,2616300.0,-46.5
F10435565,1620 NE 12th Terrace,Area 3360,Industrial,Expired,1800000.0,11736.0,153.0,263.0,-41.8,1819549.0,-1.1
F10446472,114 NW 25th Street,Area 3390,Multifamily,Expired,2750000.0,40196.0,68.0,119.0,-42.4,7172136.0,-61.7
F10457923,530-536 & 548 & 548 32nd Street,Area 3450,Commercial (other),Expired,1890000.0,17111.0,110.0,194.0,-43.0,3312690.0,-42.9
F10450279,3015 N Ocean Boulevard Unit#C-115,Area 3160,Commercial (other),Expired,350000.0,1938.0,181.0,319.0,-43.3,375197.0,-6.7
F10481743,2455 E Sunrise Boulevard Unit#Retail Portfolio Sale,Area 3260,Commercial (other),Expired,1600000.0,12398.0,129.0,230.0,-43.9,2400253.0,-33.3
F10541816,311 SW 14th Way,Area 3470,Multifamily,Withdrawn,950000.0,7070.0,134.0,240.0,-43.9,1261494.0,-24.7
A11685059,1106 NE 5th Ave Unit#1-5,Area 3370,Multifamily,Expired,1349999.0,10127.0,133.0,240.0,-44.6,1806951.0,-25.3
F10497894,808 NW 19 Street,Area 3370,Multifamily,Expired,1299000.0,9466.0,137.0,249.0,-44.9,1689010.0,-23.1
F10453661,916 NW 9th Avenue,Area 3460,Industrial,Expired,850000.0,6750.0,126.0,231.0,-45.5,1046520.0,-18.8
F10544162,700 NW 7th Avenue,Area 3400,Industrial,Cancelled,1950000.0,16875.0,116.0,217.0,-46.8,2616300.0,-25.5
A11721197,223 SW 17th St,Area 3480,Mixed Use,Expired,849000.0,7380.0,115.0,217.0,-47.0,1023360.0,-17.0
F10545614,419 NE 2nd Avenue,Area 3500,Multifamily,Cancelled,954000.0,6375.0,150.0,285.0,-47.5,1137485.0,-16.1
A11690572,901 NE 30th Ct,Area 3331,Industrial,Expired,1900000.0,16500.0,115.0,220.0,-47.7,2558160.0,-25.7
F10486705,1124 NE 5th Avenue,Area 3370,Multifamily,Expired,1750000.0,20256.0,86.0,166.0,-47.9,3614260.0,-51.6
F10424980,3015 N Ocean Boulevard Unit#C-126,Area 3160,Commercial (other),Expired,315000.0,1938.0,163.0,319.0,-49.0,375197.0,-16.0
A11825502,505 SE 20th St Unit#1-6,Area 3600,Multifamily,Cancelled,1490000.0,6977.0,214.0,421.0,-49.3,1244900.0,19.7
F10405105,2001 NW 21st Avenue,Area 3560,Commercial (other),Expired,1200000.0,8333.0,144.0,285.0,-49.4,1613269.0,-25.6
F10472586,200 SE 19th Street,Area 3800,Mixed Use,Cancelled,699000.0,6950.0,101.0,199.0,-49.5,963733.0,-27.5
A11718368,2001-2007 NW 21st Ave,Area 3560,Mixed Use,Expired,949900.0,11136.0,85.0,175.0,-51.2,1544192.0,-38.5
F10482300,1124 NE 5th Avenue Unit#1-6,Area 3370,Multifamily,Expired,1350000.0,13504.0,100.0,206.0,-51.4,2409506.0,-44.0
F10517843,1141 SE 4th Avenue,Area 3800,Commercial (other),Cancelled,929000.0,7000.0,133.0,276.0,-51.9,1355200.0,-31.4
F10512115,624 SW 24th Street,Area 3480,Commercial (other),Expired,990000.0,6325.0,157.0,329.0,-52.4,1224520.0,-19.2
F10450330,2455 E Sunrise Boulevard Unit#CU-1A,Area 3260,Commercial (other),Expired,1098960.0,8381.0,131.0,283.0,-53.7,1622562.0,-32.3
